"BehaviorSpace results (NetLogo 6.1.0)"
"ContactProcessForestAsTurtles.nlogo"
"CriticalValueBirds2.5-4forest1.5-1.85_world101"
"09/03/2019 22:35:37:152 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","world-width","world-height","birth-rate-birds","death-rate-birds","death-rate-forest","birth-rate-forest","[step]","habitat-proportion","birds-proportion"
"44","101","101","2.5","1","1","1.58","43","0.0016665032839917656","0"
"35","101","101","2.5","1","1","1.56","47","0.004019213802568375","0"
"45","101","101","2.5","1","1","1.58","41","0.0037251249877462995","0"
"39","101","101","2.5","1","1","1.57","52","0.001176355259288305","0"
"41","101","101","2.5","1","1","1.58","58","8.822664444662288E-4","0"
"32","101","101","2.5","1","1","1.56","51","0.00235271051857661","0"
"40","101","101","2.5","1","1","1.57","60","3.9211841976276833E-4","0"
"49","101","101","2.5","1","1","1.59","40","0.00235271051857661","0"
"30","101","101","2.5","1","1","1.55","73","0.0035290657778649153","0"
"55","101","101","2.5","1","1","1.6","40","0.0012743848642289971","0"
"51","101","101","2.5","1","1","1.6","48","0.0035290657778649153","0"
"54","101","101","2.5","1","1","1.6","43","9.80296049406921E-4","0"
"36","101","101","2.5","1","1","1.57","36","0.0035290657778649153","0"
"58","101","101","2.5","1","1","1.61","33","0.00421527301244976","0"
"57","101","101","2.5","1","1","1.61","35","0.0028428585432800704","0"
"46","101","101","2.5","1","1","1.59","62","0.010097049308891284","0"
"60","101","101","2.5","1","1","1.61","40","0.0025487697284579942","0"
"53","101","101","2.5","1","1","1.6","59","0.0028428585432800704","0"
"61","101","101","2.5","1","1","1.62","41","0.005195569061856681","0"
"52","101","101","2.5","1","1","1.6","69","0.0031369473581021466","0"
"67","101","101","2.5","1","1","1.63","35","0.004019213802568375","0"
"63","101","101","2.5","1","1","1.62","37","0.0050975394569159884","0"
"65","101","101","2.5","1","1","1.62","55","0.0028428585432800704","0"
"48","101","101","2.5","1","1","1.59","83","0.005685717086560141","0"
"66","101","101","2.5","1","1","1.63","55","0.0015684736790510733","0"
"69","101","101","2.5","1","1","1.63","50","0.004999509851975297","0"
"64","101","101","2.5","1","1","1.62","49","0.006175865111263602","0"
"72","101","101","2.5","1","1","1.64","42","0.004509361827271836","0"
"75","101","101","2.5","1","1","1.64","30","0.0013724144691696892","0"
"79","101","101","2.5","1","1","1.65","22","8.822664444662288E-4","0"
"73","101","101","2.5","1","1","1.64","45","0.0035290657778649153","0"
"68","101","101","2.5","1","1","1.63","54","0.005195569061856681","0"
"70","101","101","2.5","1","1","1.63","52","0.004509361827271836","0"
"59","101","101","2.5","1","1","1.61","83","0.006764042740907754","0"
"74","101","101","2.5","1","1","1.64","39","0.004019213802568375","0"
"56","101","101","2.5","1","1","1.61","81","0.007058131555729831","0"
"50","101","101","2.5","1","1","1.59","81","0.005195569061856681","0"
"85","101","101","2.5","1","1","1.66","27","0.005293598666797373","0"
"62","101","101","2.5","1","1","1.62","86","0.004117243407509068","0"
"80","101","101","2.5","1","1","1.65","50","0.003333006567983531","0"
"76","101","101","2.5","1","1","1.65","47","0.007646309185373983","0"
"92","101","101","2.5","1","1","1.68","28","0.0031369473581021466","0"
"81","101","101","2.5","1","1","1.66","36","0.0050975394569159884","0"
"77","101","101","2.5","1","1","1.65","52","0.00794039800019606","0"
"71","101","101","2.5","1","1","1.64","56","0.009312812469365748","0"
"93","101","101","2.5","1","1","1.68","33","0.004411332222331144","0"
"86","101","101","2.5","1","1","1.67","48","0.007744338790314675","0"
"94","101","101","2.5","1","1","1.68","37","0.006960101950789138","0"
"84","101","101","2.5","1","1","1.66","61","0.009116753259484365","0"
"96","101","101","2.5","1","1","1.69","37","0.0046073914322125285","0"
"82","101","101","2.5","1","1","1.66","53","0.007450249975492599","0"
"83","101","101","2.5","1","1","1.66","44","0.00803842760513675","0"
